id,road_length,count
832615fffffffff,376066.00116269605,3
83278bfffffffff,541831.3128800237,8
8326dcfffffffff,429190.79725334997,3
83489dfffffffff,599780.9427914681,12
8326dbfffffffff,467277.9778954611,4
834882fffffffff,350720.11933948373,4
8348f3fffffffff,218602.79128983695,2
832993fffffffff,497532.89513366896,13
83269afffffffff,336582.8175236212,7
83269efffffffff,256456.26346392222,14
832692fffffffff,484108.8135116,4
832693fffffffff,298540.6358402112,8
8326a4fffffffff,303315.3522118483,2
832685fffffffff,298002.13823524845,5
8326a1fffffffff,320373.4752363164,1
832684fffffffff,263632.1171608517,2
8326b3fffffffff,345656.686442647,4
832799fffffffff,339601.8650054307,5
8326a3fffffffff,168144.90400162444,2
8348dbfffffffff,496068.5515057449,16
832af3fffffffff,266655.88527701085,2
832672fffffffff,513958.0093831979,9
8328c2fffffffff,207872.1175833554,11
834412fffffffff,114704.1732269782,3
8344a5fffffffff,141251.70526401646,12
832994fffffffff,95552.2379678986,13
8328aefffffffff,244804.0955623684,3
832899fffffffff,189963.81741077302,2
832819fffffffff,42314.45145505367,5
8328abfffffffff,132728.76733241082,5
832698fffffffff,158775.93369407186,20
8312d8fffffffff,80314.17109383184,3
83266bfffffffff,1076999.5098741038,21
830c55fffffffff,205245.5124462776,5
8329b3fffffffff,116399.03789874849,4
8348cdfffffffff,154263.86157570226,16
8348ccfffffffff,178577.78373823053,5
832812fffffffff,124507.74512925131,3
83291afffffffff,106321.90705139392,24
83298dfffffffff,538622.2937133127,14
832814fffffffff,430364.91629385774,13
8344e4fffffffff,90346.54763861855,9
83260cfffffffff,684349.8905916262,8
8312d9fffffffff,328001.8195902351,8
8328b0fffffffff,232144.94851518783,3
832883fffffffff,159516.33509684957,1
832891fffffffff,173917.23148850776,1
8326f1fffffffff,766511.5953043937,3
8326f3fffffffff,586959.7705462482,2
832a9efffffffff,842109.9834510386,9
832badfffffffff,327233.6215735192,7
832b1bfffffffff,0.0,1
832772fffffffff,162774.667367317,7
832623fffffffff,695935.2804065569,3
832754fffffffff,348375.48326613836,7
832642fffffffff,437102.71804484917,11
83445bfffffffff,454310.7517802959,14
832790fffffffff,292628.0764938928,6
83289efffffffff,420801.2582017549,2
832792fffffffff,425880.6245888898,5
8312cbfffffffff,307097.16173073184,7
83261dfffffffff,624546.31273107,18
8348c5fffffffff,259051.74181614144,2
8348d1fffffffff,355079.3651061285,6
8348dcfffffffff,365770.41923240654,5
832b8efffffffff,578960.0889985295,15
8328aafffffffff,316231.9870436098,3
832633fffffffff,333894.95091472316,3
8326d0fffffffff,535167.9060671852,3
8348f2fffffffff,355448.74616000004,2
83489bfffffffff,493117.76085301314,5
834889fffffffff,562302.7251630428,6
834469fffffffff,542230.2541756136,8
834890fffffffff,17163.639274442554,6
8348b2fffffffff,13468.078239490584,13
834883fffffffff,476156.7698110353,3
832991fffffffff,100619.02238952086,10
832992fffffffff,0.0,4
832690fffffffff,464552.7258185387,46
8328dcfffffffff,0.0,3
8312defffffffff,37458.04023955245,1
832740fffffffff,303739.13250254985,16
832750fffffffff,559914.043968763,5
832755fffffffff,555691.4908279222,6
8326a2fffffffff,315986.98148012464,3
8326a0fffffffff,136559.46165801186,1
832763fffffffff,171548.8608000459,6
83268afffffffff,302204.7656659274,17
832985fffffffff,32719.46412528192,5
830c45fffffffff,0.0,2
835d13fffffffff,150541.3426575723,2
8326ccfffffffff,781224.6720313388,17
8327aafffffffff,370390.0219110397,4
8348ddfffffffff,157438.39826184316,11
832746fffffffff,383598.8980368741,6
832624fffffffff,350450.2850338322,7
832682fffffffff,235505.43637711526,4
8327abfffffffff,246764.26586078003,6
83262afffffffff,612133.8045813818,4
832b11fffffffff,257256.05924048004,8
830c51fffffffff,29687.969312716355,3
834881fffffffff,107785.2437473894,1
832603fffffffff,388110.35433291394,5
8326c6fffffffff,572159.9118595663,5
832676fffffffff,678751.7994290184,10
832af1fffffffff,0.0,1
83279cfffffffff,350091.1085496656,1
832b1cfffffffff,62740.07574925055,3
8328a0fffffffff,130974.34313963074,2
8329b5fffffffff,457888.9688767057,9
83485afffffffff,95804.89957824681,2
8328b4fffffffff,156684.8404395211,1
832998fffffffff,294659.40608947206,1
8326cdfffffffff,470642.9629144315,2
8326c3fffffffff,579724.6682029815,5
8326d5fffffffff,242867.64060024734,3
832689fffffffff,342660.71389548114,6
832654fffffffff,473487.4736238154,4
83278efffffffff,229889.17807992658,1
832781fffffffff,432399.0012168272,2
8328a3fffffffff,216240.11165378903,1
83298afffffffff,163344.5861777672,2
832b81fffffffff,44575.37261656094,12
83288efffffffff,3319.325264950098,2
83270bfffffffff,283311.68130177027,4
830c46fffffffff,146478.7778763068,1
832612fffffffff,361546.02141367877,2
8326acfffffffff,347356.4222834491,1
8327a9fffffffff,376634.33326042595,3
830c70fffffffff,174802.2402097539,4
831391fffffffff,71559.23209110212,1
83261cfffffffff,298165.18614058837,1
832744fffffffff,277910.9965564482,3
8326d8fffffffff,526255.0132969453,1
832742fffffffff,456786.71697639173,7
832718fffffffff,514877.24575736426,1
8326c4fffffffff,402015.79015126295,2
831d24fffffffff,0.0,1
834859fffffffff,161139.7634634782,3
8328b3fffffffff,257640.80014193236,3
832816fffffffff,159345.16544306316,1
834ceefffffffff,0.0,1
8344d3fffffffff,786607.5260392186,2
8326dafffffffff,535663.8536363277,4
8344f1fffffffff,664234.7105037493,4
832880fffffffff,107097.5166940126,3
8326d3fffffffff,427441.4428237128,3
8344e6fffffffff,203740.40675922425,4
8326d6fffffffff,264466.60052757856,1
832a06fffffffff,0.0,6
832619fffffffff,613801.8240350117,4
832aa0fffffffff,523246.43654944026,10
832604fffffffff,488044.24973831023,4
834468fffffffff,535512.9152462283,1
832ab4fffffffff,0.0,1
834459fffffffff,460357.32637155126,3
830c74fffffffff,262714.2667916152,4
830c42fffffffff,39636.47664046715,3
8326f0fffffffff,223720.61350669223,1
8348d4fffffffff,264394.275296512,3
83271afffffffff,485946.40220282564,2
830d5afffffffff,286648.8403080007,1
834899fffffffff,724299.8449794119,3
8348b1fffffffff,93774.23949465092,1
834444fffffffff,151553.1257187142,3
832b10fffffffff,146694.07684161016,2
83755cfffffffff,0.0,26
8326f2fffffffff,392945.2662788848,4
832b1dfffffffff,0.0,1
83265cfffffffff,342221.1091902723,1
8348abfffffffff,18104.099854072083,2
834449fffffffff,529199.5861535083,1
83289afffffffff,57930.184284882,2
832771fffffffff,74910.23312909312,2
83299dfffffffff,181398.99873848143,1
8348c2fffffffff,268260.24367595866,2
832768fffffffff,136676.87913873055,1
8326a6fffffffff,239577.9835571694,2
8326b1fffffffff,163509.67034514042,2
83289cfffffffff,117804.68720760848,1
8326b2fffffffff,417427.1986641567,3
83299efffffffff,149813.27132050076,2
8326a9fffffffff,476959.0415479126,2
83754efffffffff,0.0,2
8348d0fffffffff,480909.01193611533,4
8348d2fffffffff,412950.9744717136,1
832606fffffffff,315424.5697000549,1
